user_id,subject_id,subject_average
0,0,0.49508196721311476
0,1,0.46774193548387094
0,5,0.5
0,165,0.6666666666666666
0,12,0.6
0,176,0.3333333333333333
0,98,0.5208333333333334
0,145,0.38461538461538464
0,147,0.5
0,17,0.4189189189189189
0,22,0.5
0,205,0.0
0,39,0.5357142857142857
0,64,0.5714285714285714
0,222,0.75
0,121,0.16666666666666666
0,122,0.25
0,7,0.45454545454545453
0,180,0.625
0,35,0.0
0,105,0.3
0,49,1.0
0,266,1.0
0,177,0.6666666666666666
0,178,1.0
0,25,0.0
0,107,0.5454545454545454
0,8,0.3125
0,168,0.6666666666666666
0,65,0.5
0,152,0.3333333333333333
0,6,0.375
0,163,0.3333333333333333
0,14,0.75
0,183,0.0
0,68,0.7037037037037037
0,245,0.75
0,247,1.0
0,139,0.75
0,223,0.0
0,33,0.3333333333333333
0,104,0.2857142857142857
0,151,0.6666666666666666
0,72,1.0
0,242,0.6111111111111112
0,119,0.5
0,120,0.5
0,171,0.3333333333333333
0,30,0.3333333333333333
0,194,0.42857142857142855
0,359,0.0
0,123,0.7
0,124,1.0
0,51,1.0
0,55,1.0
0,58,1.0
0,219,1.0
0,28,0.75
0,53,1.0
0,301,0.0
0,10,0.25
0,232,0.2
0,84,0.0
0,38,0.25
0,312,0.0
0,42,0.6875
0,48,1.0
0,215,0.6
0,283,0.75
0,179,0.75
0,244,0.8
0,164,0.3333333333333333
0,146,0.5833333333333334
0,29,0.2
0,117,1.0
0,140,1.0
0,9,0.4444444444444444
0,15,1.0
0,96,0.0
0,156,0.0
0,116,0.0
0,118,0.0
0,13,0.3333333333333333
0,186,0.3333333333333333
0,67,0.3
0,134,0.16666666666666666
0,73,0.5
0,50,1.0
0,137,1.0
0,133,0.6666666666666666
0,37,0.0
0,44,0.0
0,43,0.5
0,195,0.0
0,150,0.3333333333333333
0,16,0.5
0,193,1.0
0,24,0.75
0,36,0.6
0,110,0.5
0,62,0.75
0,221,0.7
0,225,1.0
0,326,1.0
0,158,0.0
0,159,0.0
0,127,0.6
0,74,1.0
0,47,0.5
0,212,0.5
0,302,0.0
0,303,0.0
0,304,0.0
0,370,0.0
0,78,0.5
0,18,0.5
0,102,0.4
0,32,0.4
0,162,0.5
0,204,1.0
0,26,0.75
0,167,0.0
0,314,0.0
0,235,0.0
0,57,0.0
0,189,0.6666666666666666
0,19,0.0
0,20,0.0
0,21,0.0
0,103,0.3333333333333333
0,27,1.0
0,113,1.0
0,350,0.6666666666666666
0,56,0.5
0,214,0.5
0,313,0.0
0,75,1.0
0,108,0.0
0,192,0.0
0,149,1.0
0,76,0.3333333333333333
0,41,0.5
0,202,1.0
0,144,1.0
0,166,0.6666666666666666
0,128,1.0
0,142,0.0
0,198,0.0
0,308,0.0
0,86,0.3333333333333333
0,88,0.0
0,259,0.0
0,262,0.0
0,91,0.0
0,286,0.0
0,199,0.5
0,206,1.0
0,268,1.0
0,2,0.3333333333333333
0,59,0.6666666666666666
0,190,0.25
0,196,0.0
0,23,0.3333333333333333
0,211,0.5
0,173,0.0
0,126,1.0
0,70,1.0
0,238,1.0
0,80,1.0
0,236,1.0
0,174,0.0
0,270,1.0
0,71,0.0
0,46,0.0
0,200,0.0
0,365,0.0
0,181,0.0
0,237,1.0
0,60,0.0
0,45,0.0
0,131,0.0
0,216,1.0
0,111,1.0
0,169,0.0
0,318,0.0
0,69,1.0
0,61,1.0
0,170,1.0
0,172,1.0
0,371,1.0
0,66,1.0
0,227,1.0
0,377,1.0
0,89,1.0
0,276,1.0
0,209,0.0
0,11,0.5
0,154,1.0
0,155,1.0
0,234,1.0
0,188,0.0
0,175,0.0
0,130,0.0
0,373,0.0
0,319,0.0
0,153,0.0
0,217,1.0
1,0,0.6538461538461539
1,1,0.6086956521739131
1,8,0.6666666666666666
1,168,1.0
1,68,0.6
1,85,0.5
1,242,0.6
1,17,0.6923076923076923
1,24,1.0
1,107,1.0
1,11,0.0
1,153,0.0
1,18,1.0
