user_id,subject_id,is_proficient
0,0,0
0,1,0
0,5,0
0,165,1
0,12,1
0,176,0
0,98,0
0,145,0
0,147,0
0,17,0
0,22,0
0,205,0
0,39,0
0,64,1
0,222,1
0,121,0
0,122,0
0,7,0
0,180,1
0,35,0
0,105,0
0,49,1
0,266,1
0,177,1
0,178,1
0,25,0
0,107,0
0,8,0
0,168,1
0,65,0
0,152,0
0,6,0
0,163,0
0,14,1
0,183,0
0,68,1
0,245,1
0,247,1
0,139,1
0,223,0
0,33,0
0,104,0
0,151,1
0,72,1
0,242,1
0,119,0
0,120,0
0,171,0
0,30,0
0,194,0
0,359,0
0,123,1
0,124,1
0,51,1
0,55,1
0,58,1
0,219,1
0,28,1
0,53,1
0,301,0
0,10,0
0,232,0
0,84,0
0,38,0
0,312,0
0,42,1
0,48,1
0,215,1
0,283,1
0,179,1
0,244,1
0,164,0
0,146,1
0,29,0
0,117,1
0,140,1
0,9,0
0,15,1
0,96,0
0,156,0
0,116,0
0,118,0
0,13,0
0,186,0
0,67,0
0,134,0
0,73,0
0,50,1
0,137,1
0,133,1
0,37,0
0,44,0
0,43,0
0,195,0
0,150,0
0,16,0
0,193,1
0,24,1
0,36,1
0,110,0
0,62,1
0,221,1
0,225,1
0,326,1
0,158,0
0,159,0
0,127,1
0,74,1
0,47,0
0,212,0
0,302,0
0,303,0
0,304,0
0,370,0
0,78,0
0,18,0
0,102,0
0,32,0
0,162,0
0,204,1
0,26,1
0,167,0
0,314,0
0,235,0
0,57,0
0,189,1
0,19,0
0,20,0
0,21,0
0,103,0
0,27,1
0,113,1
0,350,1
0,56,0
0,214,0
0,313,0
0,75,1
0,108,0
0,192,0
0,149,1
0,76,0
0,41,0
0,202,1
0,144,1
0,166,1
0,128,1
0,142,0
0,198,0
0,308,0
0,86,0
0,88,0
0,259,0
0,262,0
0,91,0
0,286,0
0,199,0
0,206,1
0,268,1
0,2,0
0,59,1
0,190,0
0,196,0
0,23,0
0,211,0
0,173,0
0,126,1
0,70,1
0,238,1
0,80,1
0,236,1
0,174,0
0,270,1
0,71,0
0,46,0
0,200,0
0,365,0
0,181,0
0,237,1
0,60,0
0,45,0
0,131,0
0,216,1
0,111,1
0,169,0
0,318,0
0,69,1
0,61,1
0,170,1
0,172,1
0,371,1
0,66,1
0,227,1
0,377,1
0,89,1
0,276,1
0,209,0
0,11,0
0,154,1
0,155,1
0,234,1
0,188,0
0,175,0
0,130,0
0,373,0
0,319,0
0,153,0
0,217,1
1,0,1
1,1,1
1,8,1
1,168,1
1,68,1
1,85,0
1,242,1
1,17,1
1,24,1
1,107,1
1,11,0
1,153,0
1,18,1
1,102,1
1,39,1
1,64,0
1,222,0
1,98,1
1,145,1
1,6,0
1,163,0
1,350,1
1,9,1
1,15,1
1,244,0
1,144,1
1,42,1
1,127,0
1,173,1
1,10,0
1,14,0
1,184,0
1,232,0
1,189,0
1,22,1
1,202,1
1,169,0
1,41,1
1,59,0
1,221,1
1,5,0
1,316,0
1,149,0
1,31,1
1,104,1
1,71,1
1,76,1
1,2,1
1,53,1
1,123,1
1,65,1
1,152,1
1,29,0
1,116,0
1,83,1
1,238,1
1,239,1
1,44,1
1,23,0
1,211,0
1,147,0
1,12,1
1,176,1
1,146,1
1,7,1
1,180,1
1,82,0
1,60,1
1,49,1
1,337,1
1,36,0
1,332,0
1,30,1
1,194,1
1,195,1
1,196,1
1,235,1
1,117,1
2,0,1
2,68,0
2,70,1
2,238,0
2,1,1
2,5,1
2,166,1
2,16,0
2,191,0
2,192,0
2,17,1
2,37,0
2,104,0
2,6,0
2,164,1
2,39,1
2,45,1
2,132,1
2,98,1
2,147,1
2,11,0
2,155,0
2,22,1
2,49,1
2,204,1
2,269,1
2,86,1
2,99,0
2,281,0
2,32,1
2,82,0
2,242,0
2,83,0
2,65,1
2,142,0
2,96,0
2,157,1
2,42,0
2,44,0
2,317,1
2,48,1
2,215,0
2,8,1
2,168,0
2,35,1
2,105,1
2,87,1
2,97,1
2,77,1
2,245,0
2,64,0
2,223,1
2,29,0
2,116,0
2,103,1
2,199,1
2,51,0
2,119,1
2,163,0
2,24,0
2,36,0
2,107,0
2,110,0
2,31,0
2,128,0
2,76,1
2,222,0
2,121,0
2,122,0
2,62,0
2,66,1
2,221,1
2,342,0
2,106,1
2,26,0
2,7,1
2,180,1
2,156,0
2,350,1
2,67,1
2,134,1
2,144,1
2,73,0
2,126,1
2,125,0
2,247,0
2,139,0
2,149,1
2,158,0
2,53,0
2,123,1
2,146,0
2,27,1
2,112,0
2,9,1
2,190,1
2,28,1
2,201,1
2,202,1
2,171,1
2,15,0
2,162,0
2,71,0
2,30,0
2,195,0
2,117,0
2,239,0
2,266,1
2,19,0
2,102,0
2,21,1
2,13,1
2,186,1
2,150,0
2,14,0
2,184,0
2,2,1
2,145,0
2,377,0
2,69,0
2,283,1
2,181,0
2,12,0
2,179,0
2,374,0
2,115,1
2,226,1
2,46,1
2,173,1
2,299,1
2,183,1
2,234,0
2,10,1
2,232,1
2,113,1
2,153,0
2,23,0
2,209,1
2,246,0
2,189,0
2,43,0
2,58,0
2,218,0
2,240,1
2,200,1
2,154,1
2,57,0
2,61,0
2,167,1
2,59,1
2,120,1
2,152,1
2,84,1
2,176,0
2,41,0
2,250,1
2,124,0
2,56,0
2,214,0
2,4,1
2,160,1
2,127,0
2,133,1
2,38,0
2,188,1
2,210,0
2,172,0
2,194,0
2,196,0
2,47,1
2,212,1
2,55,1
2,3,0
2,337,0
3,0,1
3,17,1
3,22,1
3,202,0
3,39,0
3,67,0
3,133,0
3,35,0
3,105,1
3,1,1
3,232,1
3,233,0
3,18,1
3,102,1
3,2,0
3,98,0
3,8,1
3,168,0
3,86,1
3,99,1
3,279,1
3,42,0
3,51,0
3,119,0
3,128,0
3,45,1
3,132,1
3,65,1
3,152,1
3,27,1
3,112,1
3,174,0
3,29,1
3,116,1
3,49,1
3,204,0
3,269,1
3,68,1
3,82,1
3,242,1
3,12,1
3,177,1
3,106,1
3,142,1
3,96,1
3,157,1
3,44,1
3,28,1
3,145,0
3,30,1
3,194,0
3,77,1
3,245,1
3,170,1
3,146,0
3,266,1
3,20,0
3,103,0
3,198,1
3,308,1
3,31,1
3,104,1
3,62,0
3,221,1
3,151,1
3,6,1
3,163,1
3,121,1
3,122,0
3,281,1
3,162,1
3,14,1
3,234,1
3,147,1
3,144,0
3,73,1
3,88,0
3,260,0
3,47,0
3,213,0
3,126,1
3,78,1
3,149,0
3,53,0
3,123,1
3,46,0
3,11,0
3,154,1
3,201,0
3,171,0
3,9,1
3,15,0
3,54,1
3,190,1
3,117,0
3,32,1
3,178,1
3,19,0
3,13,0
3,186,0
3,283,0
3,7,0
3,181,0
3,179,0
3,173,1
3,156,1
3,115,0
3,66,0
3,226,0
3,3,1
3,299,0
3,184,1
3,70,0
3,238,0
3,134,1
3,41,0
3,71,0
3,185,0
3,150,1
3,10,1
3,113,1
3,153,0
3,124,1
3,350,1
3,207,1
3,189,0
3,180,1
3,43,0
3,183,0
3,69,0
3,83,0
3,58,0
3,218,0
3,240,1
3,200,1
3,57,1
3,61,1
3,215,1
3,5,0
3,316,0
3,64,0
3,223,0
3,164,1
3,56,0
3,214,0
3,38,0
3,176,0
3,59,1
3,72,1
3,4,1
3,160,1
3,216,1
3,206,1
3,205,1
3,212,1
3,23,1
3,210,1
3,21,1
3,172,1
3,55,0
3,139,1
3,158,1
